asin,brand,title,amazon_subcategory,reasoning
B00028OC90,eclectic,"eclectic institute kids herbs lemon balm, lemon flavor  calming and nervous system support  1 fl oz (30 ml)",other herbal supplements,Title keyword filter: 'balm'
B01BWNDS2A,dr. organic,dr organic hemp rescue shampoo,cbd & hemp extract products,Title keyword filter: 'shampoo'
B01K6VRGHM,good medicine beauty lab,every little thing balm (4 oz.),non-aspirin pain relievers,Title keyword filter: 'balm'
B01KURJYHC,harmonize,harmonize seven chakra spinning quartz merkaba energy generator spiritual reiki healing gemstones,other alternative medicine,Title keyword filter: 'gemstone'
B076JTBNHK,bianca rosa,"bianca rosa vitex chasteberry cream (2 oz, zin: 512765) - 3 pack",other herbal supplements,Title keyword filter: 'cream'
B078YGRNPJ,remove,advil pain reliever/fever reducer liqui-gels 200mg - 20 ct  pack of 4,non-aspirin pain relievers,Title keyword filter: 'gel'
B07PHR8V8N,tumbeelluwa,tumbeelluwa stone pendant necklace amulet reiki healing crystal with nylon cord handmade jewelry for women,other alternative medicine,Title keyword filter: 'jewelry'
B07R2D2XCT,real-gems,unique natural aqua sky aquamarine energy stone 12.20 ct certified aquamarine gemstone healing power for jewelry making,other alternative medicine,Title keyword filter: 'jewelry'
B07R8SPN1S,aland,aland health care weight loss fat burning slimming magnetic ring rhinestone jewelry golden us 7,fat burners,Title keyword filter: 'jewelry'
B07RR182CH,strive,"strive body and skin irritation cream | natural formula for wrist, hand, leg and more | 2 oz jar | made in the usa",other mineral supplements,Title keyword filter: 'cream'
B07TPMN71Z,gemhub,gemhub green amethyst emerald  square cut 50-141.70 carats loose gemstones for jewelry making,other alternative medicine,Title keyword filter: 'jewelry'
B07Y8L1DH1,cussing cups,"seven chakra tree of life, crystal tree for positive energy, 7 chakra tree, feng shui tree, stone decor natural artificial tree, 7 chakra tree of life healing gemstones pendant",other alternative medicine,Title keyword filter: 'gemstone'
B07YWK3HQN,gemmartusa loose gemstone,"aaa natural amethyst, loose stones, jewelry setting stone, precious stones, ring setting stone, february gemstone, 1 carat (am-60100)",other alternative medicine,Title keyword filter: 'jewelry'
B083XG7BQ8,candykorner,candykorner champagne bubbles | champagne bubble gels,elderberry herbal supplements,Title keyword filter: 'gel'
B086H55F2S,biolabs pro,estrogen - all natural bioidentical estrogen bi-est 5.0 - hormone replacement menopause relief estrogen cream for women - estriol & estradiol - maximum strength - two month supply - 3oz,feminine menopause products,Title keyword filter: 'cream'
B08C1C5LFD,tr toppers,mini gummi bears candy 5 lbs,elderberry herbal supplements,Title keyword filter: 'candy'
B08CDXKHXZ,herbera,"herbera superior temper a60 alcohol extract tincture: ashwagandha root, st. john's wort herb, ginkgo biloba leaf, lemon balm leaf. mood balance formula 2 fl oz",other herbal supplements,Title keyword filter: 'balm'
B08JN3GKJQ,oil of youth,oil of youth essential oils 8oz - cinnamon bark essential oil - 8 fluid ounces,cbd & hemp extract products,Title keyword filter: 'essential oil'
B08NPP2T5N,lizifang,lizifang 10mm natural yellow citrine gemstone abacus crystal bead woman pixiu bracelet,other alternative medicine,Title keyword filter: 'gemstone'
B08Q3ZQ3FH,pranarom,pranarom - lemongrass essential oil 5ml,other alternative medicine,Title keyword filter: 'essential oil'
B08RDL1VP4,exportmall,charak ayurvedic kofol syrup (100 ml) by exportmall,cold & flu treatments,Title keyword filter: 'syrup'
B08T69MQLW,skullis,"skullis 5.0 argentinian onyx crystal skull, hand carved gemstone fine art sculpture, reiki healing stone statue. 878 z8",other alternative medicine,Title keyword filter: 'gemstone'
B08YDYH8FD,maxhemp,2 pack organic hemp gummies 3000 extra strengthen high potency with pure hemp oil extract vegan edible bear candy fruit flavor made in us,cbd & hemp extract products,Title keyword filter: 'candy'
B091DXTT86,patchmd,patchmd - nad+ total recovery patches - 30 days supply,antioxidants,Title keyword filter: 'patch'
B09BF4XHRH,sent from earth,"sent from earth caffeine saw palmetto ketoconazole biotin dandruff treatment: antifungal for psoriasis, dermatitis, dry itchy scalp vegan advanced natural formula shampoo 16.9 fl.oz. (8.45 pack of 2)",saw palmetto herbal supplements,Title keyword filter: 'shampoo'
B09GL8F524,spoonz,"spoonz sqwincher zero qwik stik - sugar free electrolyte powdered beverage mix, assorted flavors (40 sticks) with fog wipe",electrolyte drink mixes & supplements,Title keyword filter: 'wipe'
B09JY9BKZD,orca beauty,"biotin hair growth serum, biotin for hair growth oil, biotin hair oil - biotin oil, natural dht blocker hair serum for hair growth, anti-thinning liquid biotin hair growth serum women (2oz)","hair, skin & nails supplements",Title keyword filter: 'serum'
