ingredient,health_focus
ACACIA FIBER,DIGESTIVE HEALTH
ACAI,CLEANSE & DETOX
ACETYL L-CARNITINE,BRAIN HEALTH
ADRENAL GLANDULAR,ENERGY SUPPORT
AFRICAN MANGO,WEIGHT MANAGEMENT
AHCC,IMMUNE HEALTH
ALFALFA,CLEANSE & DETOX
ALGAE - OTHER,BRAIN HEALTH
ALOE VERA,DIGESTIVE HEALTH
ALPHA LIPOIC ACID,BEAUTY
AMINO ACIDS - OTHER,ENERGY SUPPORT
ANDROGRAPHIS,"COUGH, COLD & FLU"
ANDROSTENEDIONE,REPRODUCTIVE HEALTH
ANGELICA,URINARY TRACT HEALTH
ANISE,REPRODUCTIVE HEALTH
ANTIOXIDANT COMBO OF A C & E,BEAUTY
ARGININE,REPRODUCTIVE HEALTH
ARNICA (HERBAL),PAIN & INFLAMMATION
ARNICA (HOMEOPATHIC),PAIN & INFLAMMATION
ARTICHOKE,CLEANSE & DETOX
ASHWAGANDHA,MOOD & STRESS SUPPORT
ASSORTED DSP OR PACK,"COUGH, COLD & FLU"
ASTAXANTHIN,EYE HEALTH
ASTRAGALUS,IMMUNE HEALTH
AYURVEDIC HERBS - OTHER,CLEANSE & DETOX
BACOPA,BRAIN HEALTH
BAOBAB,IMMUNE HEALTH
BARBERRY,CARDIOVASCULAR HEALTH
BASIL (NOT CULINARY NOT HOLY),MOOD & STRESS SUPPORT
BAYBERRY,"COUGH, COLD & FLU"
BEE POLLEN,"COUGH, COLD & FLU"
BEE PRODUCTS (NOT PROPOLIS),"COUGH, COLD & FLU"
BEE PROPOLIS,"COUGH, COLD & FLU"
BEET ROOT,CARDIOVASCULAR HEALTH
BETA CAROTENE (NOT COMBO),EYE HEALTH
BETA GLUCANS,IMMUNE HEALTH
BETA SITOSTEROL,DIGESTIVE HEALTH
BETAINE HCL (HYDROCHLORIDE),DIGESTIVE HEALTH
BETONY,MOOD & STRESS SUPPORT
BILBERRY,EYE HEALTH
BIOFLAVONOID COMPLEX,CARDIOVASCULAR HEALTH
BIOPERINE (BLACK PEPPER),REPRODUCTIVE HEALTH
BIOTIN,BEAUTY
BITTER MELON,BLOOD SUGAR SUPPORT
BLACK COHOSH,REPRODUCTIVE HEALTH
BLACK CURRANT OIL,BEAUTY
BLACK SEED (CUMIN),IMMUNE HEALTH
BLACK WALNUT,DIGESTIVE HEALTH
BLACKBERRY,WEIGHT MANAGEMENT
BLADDERWRACK,WEIGHT MANAGEMENT
BLESSED THISTLE,REPRODUCTIVE HEALTH
BLOODROOT,"COUGH, COLD & FLU"
BLUE COHOSH,REPRODUCTIVE HEALTH
BLUEBERRY,BRAIN HEALTH
BOLDO,"COUGH, COLD & FLU"
BONE MEAL,BONE HEALTH
BONESET,"COUGH, COLD & FLU"
BORAGE OIL,BEAUTY
BORON,BONE HEALTH
BOSWELLIN OR BOSWELLIA,JOINT HEALTH
BOVINE CARTILAGE,JOINT HEALTH
BRANCHED CHAIN AMINO ACIDS,ENERGY SUPPORT
BROCCOLI (SULPHUROPHANE),CLEANSE & DETOX
BROMELAIN,DIGESTIVE HEALTH
BUCHU,URINARY TRACT HEALTH
BUGLE WEED,"COUGH, COLD & FLU"
BUPLEURUM,CLEANSE & DETOX
BURDOCK,CLEANSE & DETOX
BUTCHERS BROOM,CARDIOVASCULAR HEALTH
BUTTERBUR,PAIN & INFLAMMATION
CAFFEINE,ENERGY SUPPORT
CALCIUM,BONE HEALTH
CALCIUM ANTACID,DIGESTIVE HEALTH
CALCIUM D-GLUCARATE,CLEANSE & DETOX
CALCIUM/MAGNESIUM COMBINATIONS,BONE HEALTH
CALENDULA (HERBAL),"COUGH, COLD & FLU"
CALENDULA (HOMEOPATHIC),CLEANSE & DETOX
CAMU CAMU,"COUGH, COLD & FLU"
CANNABIDIOL (CBD),SLEEP
CAPRYLIC ACID,BRAIN HEALTH
CARALLUMA,WEIGHT MANAGEMENT
CARAWAY,DIGESTIVE HEALTH
CARNITINE,WEIGHT MANAGEMENT
CARNOSINE & METABOLITES,ENERGY SUPPORT
CAROB,"COUGH, COLD & FLU"
CAROTENES - MIXED,EYE HEALTH
CASCARA SAGRADA,CLEANSE & DETOX
CATNIP,MOOD & STRESS SUPPORT
CATS CLAW (UNA DE GATO),IMMUNE HEALTH
CAYENNE,CLEANSE & DETOX
CELADRIN,JOINT HEALTH
CELANDINE/GREATER CELANDINE,CLEANSE & DETOX
CELERY SEED,CARDIOVASCULAR HEALTH
CETYL MYRISTOLEATE (CMO),JOINT HEALTH
CHAMOMILE,MOOD & STRESS SUPPORT
CHAPPARAL,CLEANSE & DETOX
CHARCOAL,DIGESTIVE HEALTH
CHERRY FRUIT SUPPLEMENTS,PAIN & INFLAMMATION
CHIA SEED OR OIL,WEIGHT MANAGEMENT
CHICKWEED,DIGESTIVE HEALTH
CHINESE HERBS,"COUGH, COLD & FLU"
CHINESE SKULLCAP,BRAIN HEALTH
CHITOSAN,WEIGHT MANAGEMENT
CHLOROPHYLL / CHLORELLA,CLEANSE & DETOX
CHOLINE AND INOSITOL (COMBO),BRAIN HEALTH
CHONDROITIN SUPPLEMENTS,JOINT HEALTH
CHROMIUM (ALL FORMS),BLOOD SUGAR SUPPORT
CIDER VINEGAR SUPPLEMENTS,IMMUNE HEALTH
CINNAMON,BLOOD SUGAR SUPPORT
CLEAVERS,CLEANSE & DETOX
CLOVE,IMMUNE HEALTH
CLOVER (NOT RED),UNKNOWN
CO-ENZYME Q 1,CARDIOVASCULAR HEALTH
CO-ENZYME Q 1 - UBIQUINOL,ENERGY SUPPORT
CO-ENZYME Q 10,CARDIOVASCULAR HEALTH
CO-ENZYME Q 10 - UBIQUINOL,CARDIOVASCULAR HEALTH
COCOA EXTRACT,BEAUTY
COCONUT OIL,BEAUTY
COLLAGEN PRODUCTS,BEAUTY
COLLINOSIA,PAIN & INFLAMMATION
COLLOIDAL SILVER,"COUGH, COLD & FLU"
COLOSTRUM,IMMUNE HEALTH
COLTSFOOT,"COUGH, COLD & FLU"
COMBINATION OILS (SUPPLEMENTS),CARDIOVASCULAR HEALTH
COMFREY,BEAUTY
CONJ LINOLEIC ACID,WEIGHT MANAGEMENT
COPPER,GENERAL HEALTH
CORAL CALCIUM,BONE HEALTH
CORNSILK,URINARY TRACT HEALTH
CORYDALIS,PAIN & INFLAMMATION
COUGH SYRUPS,"COUGH, COLD & FLU"
CRAMPBARK,REPRODUCTIVE HEALTH
CRANBERRY FOODS,UNKNOWN
CRANBERRY SUPPLEMENTS,URINARY TRACT HEALTH
CRANESBILL,REPRODUCTIVE HEALTH
CREATINE,ENERGY SUPPORT
CYSTEINE,ENERGY SUPPORT
D-MANNOSE,URINARY TRACT HEALTH
DAMIANA,MOOD & STRESS SUPPORT
DANDELION,CLEANSE & DETOX
DEVILS CLAW,PAIN & INFLAMMATION
DHA PRODUCTS,REPRODUCTIVE HEALTH
DHEA,REPRODUCTIVE HEALTH
DIGEST BITTERS,DIGESTIVE HEALTH
DIGESTIVE ENZYMES - OTHER,DIGESTIVE HEALTH
DIM (DIINDOLYLMETHANE),REPRODUCTIVE HEALTH
DMAE,BRAIN HEALTH
DMG SUPPLEMENTS,MOOD & STRESS SUPPORT
DOLOMITE,BONE HEALTH
DONG QUAI,"COUGH, COLD & FLU"
ECHINACEA,IMMUNE HEALTH
ECHINACEA GOLDENSEAL COMBO,IMMUNE HEALTH
ELDERBERRY,IMMUNE HEALTH
ELECAMPANE,"COUGH, COLD & FLU"
EMU OIL,PAIN & INFLAMMATION
EPHEDRA,WEIGHT MANAGEMENT
EUCALYPTUS,"COUGH, COLD & FLU"
EVENING PRIMROSE OIL,REPRODUCTIVE HEALTH
EYE HEALTH FORMULAS,EYE HEALTH
EYEBRIGHT,EYE HEALTH
FALSE UNICORN,REPRODUCTIVE HEALTH
FENNEL,DIGESTIVE HEALTH
FENUGREEK,REPRODUCTIVE HEALTH
FEVERFEW,PAIN & INFLAMMATION
FIBER - OTHER,DIGESTIVE HEALTH
FISH OIL CONCENTRATE,CARDIOVASCULAR HEALTH
FIVE HTP,MOOD & STRESS SUPPORT
FLAX SEED AND/OR OIL,CARDIOVASCULAR HEALTH
FLOWER ESSENCES,MOOD & STRESS SUPPORT
FO-TI,BEAUTY
FOLIC ACID (FOLATE),REPRODUCTIVE HEALTH
FOLIC ACID - B-6 - B-12 COMBO,WEIGHT MANAGEMENT
FOOD SUPPLEMENTS - OTHER,BEAUTY
FORSKOHLII (COLEUS),WEIGHT MANAGEMENT
FOS (FRUCTOOLIGOSACCHARIDES),DIGESTIVE HEALTH
GABA,MOOD & STRESS SUPPORT
GAMMA ORYZANOL,REPRODUCTIVE HEALTH
GARCINIA CAMBOGIA (HCA),WEIGHT MANAGEMENT
GARLIC,CARDIOVASCULAR HEALTH
GELATIN SUPPLEMENTS,BEAUTY
GENTIAN,DIGESTIVE HEALTH
GERMANIUM,JOINT HEALTH
GINGER,DIGESTIVE HEALTH
GINKGO BILOBA,BRAIN HEALTH
GINSENG - ALL (X SIBERIAN GIN),ENERGY SUPPORT
GINSENG - SIBERIAN (ELEUTHERO),MOOD & STRESS SUPPORT
GLANDULAR SUPPLEMENTS,CLEANSE & DETOX
GLUCOMANNAN,WEIGHT MANAGEMENT
GLUCOSAMINE,JOINT HEALTH
GLUCOSAMINE CHONDROITIN COMBO,JOINT HEALTH
GLUCOSE,"COUGH, COLD & FLU"
GLUTAMINE,ENERGY SUPPORT
GLUTATHIONE,CLEANSE & DETOX
GLUTEN PRODUCTS,IMMUNE HEALTH
GLYCINE,SLEEP
GOJI BERRY,WEIGHT MANAGEMENT
GOLDEN ROD,URINARY TRACT HEALTH
GOLDENSEAL,"COUGH, COLD & FLU"
GOOSEBERRY,CLEANSE & DETOX
GOTU KOLA,BRAIN HEALTH
GRAPE SEED EXTRACT,CARDIOVASCULAR HEALTH
GRAPEFRUIT SEED EXTRACT,"COUGH, COLD & FLU"
GRASS (WHEAT OR BARLEY),CLEANSE & DETOX
GRAVEL ROOT,CLEANSE & DETOX
GREEN COFFEE EXTRACT,WEIGHT MANAGEMENT
GREEN LIPPED MUSSEL,PAIN & INFLAMMATION
GREEN TEAS & SUPPLEMENTS,WEIGHT MANAGEMENT
GRINDELIA,BEAUTY
GUARANA,WEIGHT MANAGEMENT
GUGGUL,MOOD & STRESS SUPPORT
GYMNEMA SYLVESTRE,BLOOD SUGAR SUPPORT
HAWTHORNE,CARDIOVASCULAR HEALTH
HCG SUPPLEMENTS,WEIGHT MANAGEMENT
HEMP PRODUCTS,GENERAL HEALTH
HEMP SEEDS & DERIVATIVES,PAIN & INFLAMMATION
HERBAL FORMULAS - OTHER,REPRODUCTIVE HEALTH
HERBAL SINGLES - OTHER,"COUGH, COLD & FLU"
HMB SUPPLEMENTS,SLEEP
HOLY BASIL,MOOD & STRESS SUPPORT
HOMEOPATHIC CELL SALTS,PAIN & INFLAMMATION
HOMEOPATHIC REMEDY - OTHER,PAIN & INFLAMMATION
HOODIA,WEIGHT MANAGEMENT
HOPS,MOOD & STRESS SUPPORT
HOREHOUND,"COUGH, COLD & FLU"
HORNY GOAT WEED,REPRODUCTIVE HEALTH
